orderId,lineItemId,variantId,sku,createdAt,lineItemQuantity,originalUnitPrice,currency
gid://shopify/Order/1000022,gid://shopify/LineItem/10000050,gid://shopify/ProductVariant/7000004,SKU-PER-WH-S-0004,2025-01-01T00:00:00Z,1,41.85,USD
gid://shopify/Order/1000151,gid://shopify/LineItem/10000346,gid://shopify/ProductVariant/7000047,SKU-JOG-BL-M-0047,2025-01-01T00:00:00Z,1,51.17,USD
gid://shopify/Order/1000405,gid://shopify/LineItem/10000919,gid://shopify/ProductVariant/7000059,SKU-FOA-BL-18IN-0059,2025-01-01T00:00:00Z,1,23.16,USD
gid://shopify/Order/1000038,gid://shopify/LineItem/10000085,gid://shopify/ProductVariant/7000000,SKU-PER-BL-S-0000,2025-01-01T00:00:00Z,1,38.64,USD
gid://shopify/Order/1000143,gid://shopify/LineItem/10000328,gid://shopify/ProductVariant/7000003,SKU-PER-BL-XL-0003,2025-01-01T00:00:00Z,2,41.2,USD
gid://shopify/Order/1000407,gid://shopify/LineItem/10000922,gid://shopify/ProductVariant/7000003,SKU-PER-BL-XL-0003,2025-01-01T00:00:00Z,2,41.2,USD
gid://shopify/Order/1000401,gid://shopify/LineItem/10000910,gid://shopify/ProductVariant/7000000,SKU-PER-BL-S-0000,2025-01-01T00:00:00Z,1,38.64,USD
gid://shopify/Order/1000349,gid://shopify/LineItem/10000799,gid://shopify/ProductVariant/7000030,SKU-HOO-HE-S-0030,2025-01-01T00:00:00Z,1,61.59,USD
gid://shopify/Order/1000381,gid://shopify/LineItem/10000870,gid://shopify/ProductVariant/7000031,SKU-HOO-HE-M-0031,2025-01-01T00:00:00Z,1,60.16,USD
gid://shopify/Order/1000418,gid://shopify/LineItem/10000947,gid://shopify/ProductVariant/7000014,SKU-SHO-BL-L-0014,2025-01-01T00:00:00Z,1,24.27,USD
gid://shopify/Order/1000200,gid://shopify/LineItem/10000456,gid://shopify/ProductVariant/7000059,SKU-FOA-BL-18IN-0059,2025-01-01T00:00:00Z,1,23.16,USD
gid://shopify/Order/1000329,gid://shopify/LineItem/10000752,gid://shopify/ProductVariant/7000004,SKU-PER-WH-S-0004,2025-01-01T00:00:00Z,1,41.85,USD
gid://shopify/Order/1000289,gid://shopify/LineItem/10000657,gid://shopify/ProductVariant/7000000,SKU-PER-BL-S-0000,2025-01-01T00:00:00Z,1,38.64,USD
gid://shopify/Order/1000443,gid://shopify/LineItem/10001004,gid://shopify/ProductVariant/7000002,SKU-PER-BL-L-0002,2025-01-01T00:00:00Z,1,38.39,USD
gid://shopify/Order/1000406,gid://shopify/LineItem/10000920,gid://shopify/ProductVariant/7000000,SKU-PER-BL-S-0000,2025-01-01T00:00:00Z,1,38.64,USD
gid://shopify/Order/1000267,gid://shopify/LineItem/10000607,gid://shopify/ProductVariant/7000059,SKU-FOA-BL-18IN-0059,2025-01-01T00:00:00Z,2,23.16,USD
gid://shopify/Order/1000107,gid://shopify/LineItem/10000246,gid://shopify/ProductVariant/7000001,SKU-PER-BL-M-0001,2025-01-01T00:00:00Z,1,37.51,USD
gid://shopify/Order/1000350,gid://shopify/LineItem/10000801,gid://shopify/ProductVariant/7000061,SKU-PRO-BL-700ML-0061,2025-01-01T00:00:00Z,1,13.62,USD
gid://shopify/Order/1000104,gid://shopify/LineItem/10000239,gid://shopify/ProductVariant/7000057,SKU-FOA-BL-18IN-0057,2025-01-01T00:00:00Z,1,25.28,USD
gid://shopify/Order/1000245,gid://shopify/LineItem/10000560,gid://shopify/ProductVariant/7000055,SKU-DUF-BL-45L-0055,2025-01-01T00:00:00Z,2,67.78,USD
